Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,VR,DLC,English,Owned,Condition,Date Purchased, Purchase Price ,Format,Completed,Date Completed,Completion Time,Rating,Metacritic Rating,GameFAQs User Rating,Notes,Priority,Wishlisted,Estimated Time,Playing Status,Release Year,Weighted Score,Composite Score,My Score
Dead or Alive Paradise,PlayStation Portable,3/30/2010,NA,Tecmo Koei,Project Venus,Dead or Alive,Sports,,,,0,,,,,0,,,,38%,64%,,2,,19.50,,2010,46%,0.512,0.4
Flotilla,PC,3/29/2010,NA,Blendo Games,Blendo Games,Flotilla,Turn-Based Strategy,,,,1,,4/9/2013,,Digital,0,,,,75%,68%,Steam,2,,2.00,,2010,56%,0.713,0.4
WarioWare D.I.Y.,Nintendo DS,3/28/2010,NA,Nintendo,Nintendo SPD,WarioWare,Minigame Collection,,,,0,,,,,0,,,,82%,79%,,2,,3.00,,2010,60%,0.806,0.4
Art of Balance,WiiWare,3/26/2010,NA,Shin'en Multimedia,Shin'en Multimedia,Art of Balance,Puzzle,,,,0,,,,,0,,,,88%,84%,,2,,5.50,,2010,63%,0.859,0.4
Cho Aniki Zero,PlayStation Portable,3/25/2010,NA,Aksys Games,"extreme Co., Ltd.",Cho Aniki,Scrolling Shooter,,,,0,,,,,0,,,,,57%,,3,,,,2010,59%,57%,0.6
Red Steel 2,Nintendo Wii,3/23/2010,NA,Ubisoft,Ubisoft Paris,Red Steel,First-Person Shooter,,,,0,,,,,0,,,,81%,77%,,3,,8.00,,2010,69%,0.788,0.6
Shin Megami Tensei: Strange Journey,Nintendo DS,3/23/2010,NA,Atlus,Atlus,Megami Tensei,Dungeon Crawler,,,,0,,,,,0,,,,81%,75%,,4,,56.00,,2010,79%,0.782,0.8
Just Cause 2,PC,3/23/2010,NA,Eidos Interactive,Avalanche Studios,Just Cause,Third-Person Shooter,,,,1,,7/17/2012, $ 3.74 ,Digital,0,,,,86%,77%,Steam,3,,17.50,,2010,71%,0.813,0.6
Infinite Space,Nintendo DS,3/16/2010,NA,Sega,PlatinumGames,,Strategy RPG,,,,0,,,,,0,,,,76%,82%,,4,,42.00,,2010,80%,0.792,0.8
Resonance of Fate,PlayStation 3,3/16/2010,NA,Sega,tri-Ace,,Turn-Based RPG,,,,1,Complete,9/15/2018, $ 9.99 ,Physical,0,,,,73%,77%,,4,,53.50,,2010,78%,0.75,0.8
Fragile Dreams: Farewell Ruins of the Moon,Nintendo Wii,3/16/2010,NA,Xseed Games,Namco Bandai,,Turn-Based RPG,,,,0,,,,,0,,,,66%,78%,,4,,12.00,,2010,76%,0.722,0.8
Command & Conquer 4: Tiberian Twilight,PC,3/16/2010,NA,Electronic Arts,EA Los Angeles,Command & Conquer,Real-Time Strategy,,,,1,,12/19/2013, $ 0.33 ,Digital,0,,,,63%,49%,Origin,3,,8.00,,2010,58%,0.558,0.6
Metro 2033,PC,3/16/2010,NA,THQ,4A Games,Metro,First-Person Shooter,,,,1,,7/15/2012, $ 4.99 ,Digital,0,,,,81%,74%,Steam,4,,9.50,,2010,79%,0.775,0.8
Rage of the Gladiator,WiiWare,3/15/2010,NA,Ghostfire Games,Ghostfire Games,,Action,,,,0,,,,,0,,,,82%,76%,,3,,,,2010,70%,0.79,0.6
Spectral Force Genesis,Nintendo DS,3/12/2010,NA,Ignition Entertainment,Idea Factory,Spectral Force,Strategy RPG,,,,0,,,,,0,,,,46%,66%,,2,,18.50,,2010,48%,0.559,0.4
Z.H.P. Unlosing Ranger VS Darkdeath Evilman,PlayStation Portable,3/11/2010,NA,NIS America,Nippon Ichi Software,,Strategy RPG,,,,0,,,,,0,,,,81%,83%,,3,,26.00,,2010,71%,0.819,0.6
Redder,Browser,3/10/2010,NA,dessgeega,dessgeega,,Adventure Platformer,,,,0,,,,,0,,,,,,Link,3,,,,2010,60%,,0.6
Yakuza 3,PlayStation 3,3/9/2010,NA,Sega,Sega CS1,Yakuza,Action Adventure,,,,1,Complete,1/19/2019, $ 41.50 ,Physical,0,,,,80%,83%,,3,,18.50,,2010,71%,0.814,0.6
Calling,Nintendo Wii,3/9/2010,NA,Hudson Soft,Hudson Soft,,Survival Horror,,,,0,,,,,0,,,,51%,72%,,3,,9.00,,2010,61%,0.613,0.6
Foto Showdown,Nintendo DSi,3/9/2010,NA,Konami,Alpha Unit,,Turn-Based RPG,,,,0,,,,,0,,,,,79%,,2,,13.00,,2010,59%,79%,0.4
The Eye of Judgment: Legends,PlayStation Portable,3/9/2010,NA,Sony Computer Entertainment,SCE Japan Studio,The Eye of Judgment,Card Game,,,,0,,,,,0,,,,69%,76%,,2,,,,2010,56%,0.724,0.4
Silent Hill: Orphan 3,J2ME,3/5/2010,NA,Konami,Playsoft,Silent Hill,Survival Horror,,,,0,,,,,0,,,,,,,2,,0.97,,2010,40%,,0.4
.hack//Link,PlayStation Portable,3/4/2010,JP,Namco Bandai Games,CyberConnect2,.hack,Action RPG,,,2,0,,,,,0,,,,,79%,,3,,29.00,,2010,70%,79%,0.6
Sonic & Sega All-Stars Racing,PC,3/3/2010,NA,Sega,Sumo Digital,Sonic the Hedgehog,Racing,,,,1,,5/6/2014,,Digital,0,,,,60%,75%,Steam,3,,5.50,,2010,64%,0.673,0.6
Battlefield: Bad Company 2,PC,3/2/2010,NA,Electronic Arts,EA DICE,Battlefield,First-Person Shooter,,,,1,,11/30/2013, $ 1.00 ,Digital,0,,,,88%,79%,Origin,3,,7.00,,2010,72%,0.834,0.6
Lunar: Silver Star Harmony,PlayStation Portable,3/2/2010,NA,Xseed Games,Game Arts,Lunar,Turn-Based RPG,,,,0,,,,,0,,,,80%,81%,,4,,27.00,,2010,80%,0.805,0.8
Supreme Commander 2,PC,3/2/2010,NA,Square Enix,Gas Powered Games,Supreme Commander,Real-Time Strategy,,,,1,,10/14/2012,,Digital,0,,,,77%,71%,Steam,4,,14.00,,2010,77%,0.742,0.8
White Knight Chronicles,PlayStation 3,3/2/2010,NA,Sony Computer Entertainment,Level-5,White Knight Chronicles,Turn-Based RPG,,,,1,Complete,10/26/2018, $ 6.99 ,Physical,0,,,,66%,73%,,2,,25.50,,2010,55%,0.694,0.4
Biology Battle,PC,3/1/2010,NA,Novaleaf Game Studios,Novaleaf Game Studios,,Twin-Stick Shooter,,,,1,,2/23/2015,,Digital,0,,,,,83%,Steam,2,,,,2010,61%,83%,0.4
Avernum 6,PC,3/1/2010,NA,Spiderweb Software,Spiderweb Software,Avernum,Computer RPG,,,,1,,6/27/2012,,Digital,0,,,,73%,71%,Steam,2,,,,2010,56%,0.722,0.4
Radirgy Noa Wii,Nintendo Wii,2/25/2010,JP,MileStone,MileStone,Radirgy,Scrolling Shooter,,,0,0,,,,,0,,,,,87%,,3,,,,2010,74%,87%,0.6
Super Robot Taisen OG Saga: Endless Frontier Exceed,Nintendo DS,2/25/2010,JP,Namco Bandai Games,Monolith Soft,Super Robot Wars,Strategy RPG,,,2,0,,,,,0,,,,,84%,,3,,42.00,,2010,72%,84%,0.6
Echoshift,PlayStation Portable,2/25/2010,NA,Sony Computer Entertainment,Artoon,Echochrome,Puzzle,,,,0,,,,,0,,,,74%,72%,,2,,,,2010,57%,0.731,0.4
Last Rebellion,PlayStation 3,2/23/2010,NA,NIS America,Nippon Ichi Software,,Action RPG,,,,0,,,,,0,,,,44%,52%,,2,1,11.00,,2010,44%,0.482,0.4
Endless Ocean: Blue World,Nintendo Wii,2/22/2010,NA,Nintendo,Arika,Endless Ocean,Adventure,,,,0,,,,,0,,,,79%,85%,,2,,15.50,,2010,61%,0.818,0.4
Aura-Aura Climber,DSiWare,2/22/2010,NA,Nintendo,Nintendo Software Technology,,Action,,,,1,,3/6/2022, $ 1.99 ,Digital,0,,,,,78%,,2,,1.00,,2010,59%,78%,0.4
NecroVisioN: Lost Company,PC,2/19/2010,NA,1C Entertainment,The Farm 51,NecroVisioN,First-Person Shooter,,,,1,,6/28/2013,,Digital,0,,,,,52%,Steam,3,,4.50,,2010,56%,52%,0.6
Aliens vs. Predator,PC,2/16/2010,NA,Sega,Rebellion Developments,Alien,First-Person Shooter,,,,1,,12/17/2014, $ 1.34 ,Digital,0,,,,68%,65%,Steam,3,,8.50,,2010,63%,0.667,0.6
Ace Attorney Investigations: Miles Edgeworth,Nintendo DS,2/16/2010,NA,Capcom,Capcom,Ace Attorney,Adventure,,,,0,,,,,0,,,,79%,82%,,4,,23.00,,2010,80%,0.806,0.8
SOCOM U.S. Navy SEALs: Fireteam Bravo 3,PlayStation Portable,2/16/2010,NA,Sony Computer Entertainment,Slant Six Games,SOCOM U.S. Navy SEALs,Tactical Shooter,,,,0,,,,,0,,,,74%,85%,,2,,4.50,,2010,60%,0.795,0.4
Ragnarok DS,Nintendo DS,2/16/2010,NA,Xseed Games,GungHo Online Entertainment,Ragnarok Online,Action RPG,,,,0,,,,,0,,,,53%,77%,,2,,18.00,,2010,52%,0.648,0.4
Zangeki no Reginleiv,Nintendo Wii,2/11/2010,JP,Nintendo,Sandlot,,Action,,,2,0,,,,,0,,,,,82%,,4,,,,2010,81%,82%,0.8
S.T.A.L.K.E.R.: Call of Pripyat,PC,2/11/2010,NA,GSC Game World,GSC Game World,S.T.A.L.K.E.R.,First-Person Shooter,,,,1,,5/10/2015,,Digital,0,,,,81%,80%,Steam,3,,16.00,,2010,70%,0.805,0.6
Shiren the Wanderer,Nintendo Wii,2/9/2010,NA,Atlus,Chunsoft,Mystery Dungeon,Dungeon Crawler,,,,0,,,,,0,,,,74%,75%,,4,,14.00,,2010,77%,0.744,0.8
Dante's Inferno,PlayStation 3,2/9/2010,NA,Electronic Arts,Visceral Games,,Hack-and-Slash,,,,1,Complete,10/20/2018, $ 8.00 ,Physical,0,,,,76%,74%,,3,,8.00,,2010,67%,0.748,0.6
BioShock 2,Xbox 360,2/9/2010,NA,2K Games,2K Marin,BioShock,First-Person Shooter,,,,1,Complete,7/17/2020, $ -   ,Physical,0,,,,88%,81%,,1,,11.00,,2010,52%,0.843,0.2
Tomena Sanner,WiiWare,2/8/2010,NA,Konami,Konami,,Runner,,,,0,,,,,0,,,,77%,77%,,3,,,,2010,68%,0.768,0.6
Blaster Master: Overdrive,WiiWare,2/8/2010,NA,Gaijinworks,Sunsoft,Blaster Master,Run and Gun,,,,0,,,,,0,,,,61%,75%,,3,,2.50,,2010,64%,0.681,0.6
Link 'n' Launch,DSiWare,2/8/2010,NA,Nintendo,Intelligent Systems,,Puzzle,,,,1,,4/15/2022, $ 4.99 ,Digital,0,,,,73%,74%,,2,,,,2010,57%,0.737,0.4
Toki Tori,PC,1/28/2010,NA,Two Tribes,Two Tribes,Toki Tori,Puzzle Platformer,,,,1,,10/22/2012, $ 1.24 ,Digital,0,,,,84%,68%,Steam,3,,6.00,,2010,68%,0.758,0.6
Tatsunoko vs. Capcom: Ultimate All-Stars,Nintendo Wii,1/26/2010,NA,Capcom,Eighting,Tatsunoko vs. Capcom,Fighting,,,,0,,,,,0,,,,86%,84%,,4,,2.00,,2010,83%,0.85,0.8
No More Heroes 2: Desperate Struggle,Nintendo Wii,1/26/2010,NA,Ubisoft,Grasshopper Manufacture,No More Heroes,Hack-and-Slash,,,,1,Complete,,,Physical,0,,,,84%,82%,,4,,8.50,,2010,82%,0.831,0.8
Mass Effect 2,PC,1/26/2010,NA,Electronic Arts,BioWare,Mass Effect,Action RPG,,,,1,,5/1/2014, $ 2.50 ,Digital,0,,,,95%,87%,Origin,2,,24.50,,2010,65%,0.908,0.4
Vandal Hearts: Flames of Judgment,PlayStation 3,1/21/2010,NA,Konami Digital Entertainment,Hijinx Studios,Vandal Hearts,Strategy RPG,,,,1,,10/16/2020, $ 14.99 ,Digital,0,,,,70%,65%,,3,,11.00,,2010,64%,0.674,0.6
Death by Cube,Xbox 360,1/20/2010,NA,Square Enix,Premium Agency,,Twin-Stick Shooter,,,,0,,,,,0,,,,56%,54%,,2,,,,2010,48%,0.552,0.4
Dark Void,PC,1/19/2010,NA,Capcom,Airtight Games,Dark Void,Third-Person Shooter,,,,1,,10/10/2013, $ 2.49 ,Digital,0,,,,61%,54%,Steam,3,,7.50,,2010,59%,0.573,0.6
Glory of Heracles,Nintendo DS,1/18/2010,NA,Nintendo,Paon,Glory of Heracles,Turn-Based RPG,,,,0,,,,,0,,,,71%,72%,,3,,31.50,,2010,66%,0.716,0.6
Starship Defense,DSiWare,1/18/2010,NA,Nintendo,Q-Games,,Tower Defense,,,,1,,3/16/2022, $ 4.99 ,Digital,0,,,,82%,79%,,2,,10.00,,2010,60%,0.805,0.4
Muscle March,WiiWare,1/18/2010,NA,Namco Bandai Games,Namco Bandai Games,,Action,,,,0,,,,,0,,,,62%,78%,,2,,0.52,,2010,55%,0.698,0.4
Sands of Destruction,Nintendo DS,1/12/2010,NA,Sega,imageepoch,,Turn-Based RPG,,,,0,,,,,0,,,,66%,75%,,3,,20.50,,2010,65%,0.70245,0.6
Zero Gear,PC,1/12/2010,NA,Brian Cronin,Brian Cronin,,Racing,,,,1,,8/23/2012,,Digital,0,,,,62%,61%,Steam,3,,1.00,,2010,61%,0.614,0.6
The Sky Crawlers: Innocent Aces,Nintendo Wii,1/12/2010,NA,Xseed Games,Project Aces,,Flight Simulation,,,,0,,,,,0,,,,75%,78%,,2,,6.00,,2010,58%,0.76555,0.4
Army of Two: The 40th Day,PlayStation Portable,1/12/2010,NA,Electronic Arts,Buzz Monkey,Army of Two,Third-Person Shooter,,,,1,Complete,2/10/2020, $ 14.09 ,Physical,0,,,,49%,65%,,2,,7.50,,2010,48%,0.569,0.4
Toilet in Wonderland,PC,1/1/2010,NA,Team Nonsense,Team Nonsense,,Turn-Based RPG,,,,0,,,,,0,,,,,90%,Freeware,3,,1.50,,2010,75%,90%,0.6
Action Escape Kitty,Browser,1/1/2010,NA,Melly,Melly,,Scrolling Shooter,,,,0,,,,,0,,,,,,Link,3,,,,2010,60%,,0.6
Nudo,PC,1/1/2010,NA,Arcane Kids,Arcane Kids,,Puzzle Platformer,,,,0,,,,,0,,,,,,Freeware,3,,,,2010,60%,,0.6
Sombreros,PC,1/1/2010,NA,Dustin Gunn,Dustin Gunn,,Action,,,,0,,,,,0,,,,,,Freeware,3,,,,2010,60%,,0.6
Sega Golden Gun,Arcade,1/1/2010,NA,Sega,Sega,,Rail Shooter,,,,0,,,,,0,,,,,68%,,2,,0.53,,2010,54%,68%,0.4
GIGADEEP,PC,1/1/2010,NA,Peposoft,Peposoft,,Action Platformer,,,,0,,,,,0,,,,,,Freeware,2,,,,2010,40%,,0.4
Vorpal,Xbox 360,12/30/2010,NA,Abraham Morales,Abraham Morales,,Scrolling Shooter,,,,1,,,,,1,,,80%,,93%,Xbox Live Indie Games,,,,,2010,87%,93%,80%
REVOLVER360,Xbox 360,12/26/2010,NA,Cross Eaglet,Cross Eaglet,REVOLVER360,Scrolling Shooter,,,,1,,,,,1,,,80%,,73%,Xbox Live Indie Games,,,,,2010,77%,73%,80%
Aphelion: Episode Two: Wings of Omega,Xbox 360,12/19/2010,NA,Lunatic Studios,Lunatic Studios,Aphelion,Turn-Based RPG,,,,1,,,,,1,,,70%,71%,76%,Xbox Live Indie Games,,,,,2010,72%,0.737,70%
radiangames Crossfire 2,Xbox 360,12/16/2010,NA,radiangames,radiangames,radiangames,Scrolling Shooter,,,,1,,,,,1,,,80%,85%,80%,Xbox Live Indie Games,,,,,2010,81%,0.825,80%
OSR Unhinged,Xbox 360,12/16/2010,NA,Riddlersoft,Riddlersoft,Old School Racer,Sports,,,,1,,,,,1,,,80%,80%,62%,Xbox Live Indie Games,,,,,2010,76%,0.71,80%
Soulcaster II,Xbox 360,12/14/2010,NA,Magical Time Bean,Magical Time Bean,Soulcaster,Strategy RPG,,,,1,,,,,1,,,90%,90%,84%,Xbox Live Indie Games,,,,,2010,88%,0.868,90%
Chu's Dynasty,Xbox 360,12/10/2010,NA,Tribetoy,Tribetoy,,Fighting,,,,1,,,,,1,,,70%,80%,,Xbox Live Indie Games,,,,,2010,75%,80%,70%
Score Rush,Xbox 360,12/9/2010,NA,Xona Games,Xona Games,,Scrolling Shooter,,,,1,,,,,1,,,80%,86%,88%,Xbox Live Indie Games,,,,,2010,83%,0.868,80%
Infinity Blade,iOS,12/9/2010,NA,Epic Games,Chair Entertainment,Infinity Blade,Action RPG,,,,1,,7/7/2012, $ 0.99 ,Digital,1,,,70%,92%,79%,,,,,,2010,78%,0.853,70%
Doritos Crash Course,Xbox 360,12/8/2010,NA,Microsoft Studios,Wanako Games,Doritos Crash Course,Side-Scrolling Platformer,,,,0,,,,,1,12/16/2010,,70%,71%,64%,,,,,,2010,69%,0.674,70%
Harms Way,Xbox 360,12/8/2010,NA,Microsoft Studios,Bongfish,,Racing,,,,0,,,,,1,,,70%,68%,60%,,,,,,2010,67%,0.639,70%
Rocky Memphis and the Temple of Ophuxoff,PC,12/7/2010,NA,Trevor Storey/Stuart Collier,Trevor Storey/Stuart Collier,,Action Adventure,,,,0,,,,,1,,,80%,,,Freeware,,,,,2010,80%,,80%
Decimation X3,Xbox 360,12/7/2010,NA,Xona Games,Xona Games,Decimation X,Scrolling Shooter,,,,1,,,,,1,,,70%,87%,87%,Xbox Live Indie Games,,,,,2010,78%,0.868,70%
Onslaught! Arena,Browser,12/7/2010,NA,Lost Decade Games,Lost Decade Games,,Twin-Stick Shooter,,,,0,,,,,1,,,70%,,,,,,,,2010,70%,,70%
Curse of the Crescent Isle,Xbox 360,12/5/2010,NA,Adam Mowery,Adam Mowery,Curse of the Crescent Isle,Side-Scrolling Platformer,,,,1,,,,,1,,,70%,,80%,Xbox Live Indie Games,,,,,2010,75%,80%,70%
Zombie Accountant,Xbox 360,12/4/2010,NA,Going Loud Studios,Going Loud Studios,,Runner,,,,1,,,,,1,,,50%,,,Xbox Live Indie Games,,,,,2010,50%,,50%
Break Limit,Xbox 360,12/2/2010,NA,Zombie Monkey Games,Zombie Monkey Games,,Scrolling Shooter,,,,1,,,,,1,,,70%,80%,70%,Xbox Live Indie Games,,,,,2010,73%,0.75,70%
Swords and Soldiers HD,PC,12/2/2010,NA,Ronimo Games,Ronimo Games,Swords and Soldiers,Real-Time Strategy,,,,1,,9/15/2012,,Digital,1,,5.20,60%,80%,59%,Steam,,,,,2010,65%,0.694,60%
The Deep Cave,Xbox 360,11/23/2010,NA,Penny Bridge,Penny Bridge,,Side-Scrolling Platformer,,,,1,,,,,1,,,80%,,90%,Xbox Live Indie Games,,,,,2010,85%,90%,80%
Space Police on SuperHighway 9,Xbox 360,11/21/2010,NA,Haiku Interactive,Haiku Interactive,,Racing,,,,1,,,,,1,,,50%,,40%,Xbox Live Indie Games,,,,,2010,45%,40%,50%
Aah Impossible Rescue,Xbox 360,11/18/2010,NA,Aah Games,Aah Games,Aah,Puzzle,,,,1,,,,,1,,,60%,,77%,Xbox Live Indie Games,,,,,2010,68%,77%,60%
Dinner Date,PC,11/17/2010,NA,Jeroen D. Stout,Jeroen D. Stout,,Experimental,,,,1,,4/1/2013,,Digital,1,6/20/2022,0.33,10%,57%,54%,Steam,,,,,2010,33%,0.555,10%
"999: Nine Hours, Nine Persons, Nine Doors",Nintendo DS,11/16/2010,NA,Aksys Games,Chunsoft,Zero Escape,Visual Novel,,,,0,,,,,1,7/10/2015,17.53,80%,83%,88%,,,,,,2010,83%,0.854,80%
Football Games Room,Xbox 360,11/12/2010,NA,Greenstone Games,Greenstone Games,,Sports,,,,1,,,,,1,,,70%,,80%,Xbox Live Indie Games,,,,,2010,75%,80%,70%
Gravi Dot,Xbox 360,11/12/2010,NA,Cyber Edge Studios,Cyber Edge Studios,,Educational,,,,1,,,,,1,,,20%,,,Xbox Live Indie Games,,,,,2010,20%,,20%
radiangames Fireball,Xbox 360,11/11/2010,NA,radiangames,radiangames,radiangames,Twin-Stick Shooter,,,,1,,,,,1,,,70%,93%,73%,Xbox Live Indie Games,,,,,2010,77%,0.832,70%
The Tempura of the Dead,Xbox 360,11/9/2010,NA,8bits Fanatics,8bits Fanatics,,Action Platformer,,,,1,,,,,1,,,90%,70%,76%,Xbox Live Indie Games,,,,,2010,81%,0.729,90%
Iredia: Atram's Secret,Xbox 360,11/6/2010,NA,CEIEC,CEIEC,,Educational,,,,1,,,,,1,,,60%,,,Xbox Live Indie Games,,,,,2010,60%,,60%
Inertia!,Xbox 360,10/31/2010,NA,Special Topics,Special Topics,,Side-Scrolling Platformer,,,,1,,,,,1,,,70%,,85%,Xbox Live Indie Games,,,,,2010,78%,85%,70%
Fable III,Xbox 360,10/26/2010,NA,Microsoft Game Studios,Lionhead Studios,Fable,Action RPG,,,,1,,,,Digital,1,11/30/2013,23.37,60%,80%,73%,,,,,,2010,68%,0.765,60%
Shank,PC,10/25/2010,NA,Klei Entertainment,Klei Entertainment,Shank,Beat 'em Up,,,,1,,12/13/2011,,Digital,1,8/18/2013,2.26,60%,68%,67%,Steam,,,,,2010,64%,0.675,60%
radiangames Fluid,Xbox 360,10/22/2010,NA,radiangames,radiangames,radiangames,Action,,,,1,,,,,1,,,90%,80%,58%,Xbox Live Indie Games,,,,,2010,79%,0.688,90%
Kirby's Epic Yarn,Nintendo Wii,10/17/2010,NA,Nintendo,HAL Laboratory,Kirby,Side-Scrolling Platformer,,,,1,Complete,4/14/2019,,Physical,1,,,90%,89%,80%,,,,,,2010,87%,0.843,90%
Dead Space: Ignition,Xbox 360,10/13/2010,NA,Electronic Arts,Visceral Games,Dead Space,Puzzle Action,,,,0,,,,,1,2/19/2023,1.07,20%,35%,51%,,,,,,2010,32%,0.432,20%
Game Dev Story,iOS,10/9/2010,NA,Kairosoft,Kairosoft,,Simulation,,,,1,,12/27/2012, $ 3.99 ,Digital,1,,,90%,90%,86%,,,,,,2010,89%,0.878,90%
Explosionade,Xbox 360,10/7/2010,NA,Mommy's Best Games,Mommy's Best Games,,Puzzle Action,,,,1,,,,,1,,,70%,88%,79%,Xbox Live Indie Games,,,,,2010,77%,0.833,70%
Castlevania: Lords of Shadow,Xbox 360,10/5/2010,NA,Konami,MercurySteam,Castlevania,Hack-and-Slash,,,,0,,,,,1,6/16/2011,,80%,82%,77%,,,,,,2010,80%,0.796,80%
U Want Cookie?,Xbox 360,10/4/2010,NA,AxB,AxB,,Puzzle Action,,,,1,,,,,1,,,70%,,,Xbox Live Indie Games,,,,,2010,70%,,70%
BIT.TRIP BEAT,iOS,9/30/2010,NA,Namco Bandai,Gaijin Games,BIT.TRIP,Rhythm,,,,1,,7/4/2012, $ 0.99 ,Digital,1,,,70%,73%,85%,,,,,,2010,75%,0.79,70%
Dragon's Lair,iOS,9/30/2010,NA,Dragon's Lair LLC,Dragon's Lair LLC,Dragon's Lair,Adventure,,,,1,,6/18/2012, $ 0.99 ,Digital,1,,,70%,74%,68%,,,,,,2010,71%,0.711,70%
A Shooter,Xbox 360,9/24/2010,NA,VoodooChief,VoodooChief,,Scrolling Shooter,,,,1,,,,,1,,,50%,65%,,Xbox Live Indie Games,,,,,2010,58%,65%,50%
Didgery,Xbox 360,9/22/2010,NA,Lotus Games,Lotus Games,,Card Game,,,,1,,,,,1,,,50%,,,Xbox Live Indie Games,,,,,2010,50%,,50%
Figment,Xbox 360,9/18/2010,NA,Tempula,Tempula,,Side-Scrolling Platformer,,,,1,,,,,1,,,80%,,,Xbox Live Indie Games,,,,,2010,80%,,80%
Hypership Out of Control,Xbox 360,9/15/2010,NA,Fun Infused Games,Fun Infused Games,Hypership Out of Control,Scrolling Shooter,,,,1,,,,,1,,,70%,75%,89%,Xbox Live Indie Games,,,,,2010,76%,0.819,70%
Halo: Reach,Xbox 360,9/14/2010,NA,Microsoft Studios,Bungie Studios,Halo,First-Person Shooter,,,,0,,,,Physical,1,12/19/2013,,90%,92%,84%,,,,,,2010,89%,0.878,90%
Professor Layton and the Unwound Future,Nintendo DS,9/12/2010,NA,Nintendo,Level-5,Professor Layton,Puzzle,,,,0,,,,,1,12/18/2014,14.78,70%,87%,85%,,,,,,2010,78%,0.862,70%
L'Abbaye des Morts,PC,9/10/2010,NA,Locomalito,Locomalito,,Metroidvania,,,,0,,,,,1,7/8/2022,0.76,60%,,60%,Freeware,,,,,2010,60%,60%,60%
Amnesia: The Dark Descent,PC,9/8/2010,NA,Frictional Games,Frictional Games,Amnesia,Survival Horror,,,,1,,5/31/2012,,Digital,1,,6.80,90%,86%,80%,Steam,,,,,2010,86%,0.828,90%
VVVVVV,PC,9/7/2010,NA,Terry Cavanagh,Terry Cavanagh,,Side-Scrolling Platformer,,,,1,,11/26/2010, $ 0.83 ,Digital,1,,4.20,90%,80%,78%,Steam,,,,,2010,85%,0.792,90%
Broken Sword: Shadow of the Templars - The Director's Cut,PC,9/2/2010,NA,Revolution Software,Revolution Software,Broken Sword,Adventure,,,,1,,12/24/2011, $ 0.83 ,Digital,1,,6.30,70%,60%,79%,Steam,,,,,2010,70%,0.693,70%
radiangames Inferno,Xbox 360,9/1/2010,NA,radiangames,radiangames,radiangames,Twin-Stick Shooter,,,,1,,,,,1,,,90%,,83%,Xbox Live Indie Games,,,,,2010,86%,83%,90%
Treasure Treasure: FFEE,Xbox 360,9/1/2010,NA,Ishisoft,Ishisoft,Treasure Treasure,Puzzle Action,,,,1,,,,,1,,,70%,,,Xbox Live Indie Games,,,,,2010,70%,,70%
Metroid: Other M,Nintendo Wii,8/31/2010,NA,Nintendo,Team Ninja,Metroid,Metroidvania,,,,0,,,,,1,,,70%,79%,70%,,,,,,2010,72%,0.744,70%
Scott Pilgrim vs. The World: The Game,Xbox 360,8/25/2010,NA,Ubisoft,Ubisoft Montreal,Scott Pilgrim,Beat 'em Up,,,,0,,,,,1,,,90%,76%,82%,,,,,,2010,85%,0.791,90%
Monsters (Probably) Stole My Princess,Xbox 360,8/24/2010,NA,Mediatonic,Mediatonic,,Side-Scrolling Platformer,,,,1,,,,,1,,,70%,77%,80%,Xbox Live Indie Games,,,,,2010,74%,0.785,70%
Enemy of the Solid State,PC,8/22/2010,NA,Bento Smile,Bento Smile,,Visual Novel,,,,0,,,,,1,,,70%,,60%,Freeware,,,,,2010,65%,60%,70%
Kane & Lynch 2: Dog Days,PC,8/17/2010,NA,Square Enix,IO Interactive,Kane & Lynch,Third-Person Shooter,,,,1,,1/1/2015, $ 2.49 ,Digital,1,7/2/2020,2.68,20%,65%,59%,Steam,,,,,2010,41%,0.619,20%
Star Crisis,Xbox 360,8/14/2010,NA,Excalibur Studios,Excalibur Studios,,Scrolling Shooter,,,,1,,,,,1,,,80%,,,Xbox Live Indie Games,,,,,2010,80%,,80%
Castlevania: Harmony of Despair,Xbox 360,8/4/2010,NA,Konami,Konami,Castlevania,Action Platformer,,,,0,,,,,1,8/5/2010,,90%,71%,81%,,,,,,2010,83%,0.762,90%
StarCraft II: Wings of Liberty,PC,7/27/2010,NA,Blizzard Entertainment,Blizzard Entertainment,StarCraft,Real-Time Strategy,,,,1,,,,Digital,1,,,100%,92%,86%,Battle.net,,,,,2010,95%,0.89,100%
Tower of Heaven,Browser,7/24/2010,NA,Askiisoft,Askiisoft,,Side-Scrolling Platformer,,,,0,,,,,1,,,80%,,71%,,,,,,2010,76%,71%,80%
Platformance: Castle Pain,Xbox 360,7/24/2010,NA,Magiko Gaming,Magiko Gaming,Platformance,Side-Scrolling Platformer,,,,1,,,,,1,,,80%,,60%,Xbox Live Indie Games,,,,,2010,70%,60%,80%
Alien Swarm,PC,7/19/2010,NA,Valve,Valve,Alien Swarm,Shooter,,,,1,,, $ -   ,Digital,1,,5.10,80%,79%,70%,Steam,,,,,2010,77%,0.747,80%
Ophidian Wars: Opac's Journey,Xbox 360,7/17/2010,NA,Small Cave Games,Small Cave Games,,Metroidvania,,,,1,,,,,1,,,80%,,70%,Xbox Live Indie Games,,,,,2010,75%,70%,80%
